,fname,emotion,intensivity,statement,repetition,actor,sex
440,03-01-03-02-02-01-09,happy,strong,dogs,1,9,male
441,03-01-03-02-02-01-10,happy,strong,dogs,1,10,female
442,03-01-03-02-02-01-11,happy,strong,dogs,1,11,male
443,03-01-03-02-02-01-12,happy,strong,dogs,1,12,female
444,03-01-03-02-02-01-13,happy,strong,dogs,1,13,male
445,03-01-03-02-02-01-14,happy,strong,dogs,1,14,female
446,03-01-03-02-02-01-15,happy,strong,dogs,1,15,male
447,03-01-03-02-02-01-16,happy,strong,dogs,1,16,female
448,03-01-03-02-02-01-17,happy,strong,dogs,1,17,male
449,03-01-03-02-02-01-18,happy,strong,dogs,1,18,female
450,03-01-03-02-02-01-19,happy,strong,dogs,1,19,male
451,03-01-03-02-02-01-20,happy,strong,dogs,1,20,female
452,03-01-03-02-02-01-21,happy,strong,dogs,1,21,male
453,03-01-03-02-02-01-22,happy,strong,dogs,1,22,female
454,03-01-03-02-02-01-23,happy,strong,dogs,1,23,male
455,03-01-03-02-02-01-24,happy,strong,dogs,1,24,female
456,03-01-03-02-02-02-01,happy,strong,dogs,2,1,male
457,03-01-03-02-02-02-02,happy,strong,dogs,2,2,female
458,03-01-03-02-02-02-03,happy,strong,dogs,2,3,male
459,03-01-03-02-02-02-04,happy,strong,dogs,2,4,female
460,03-01-03-02-02-02-05,happy,strong,dogs,2,5,male
461,03-01-03-02-02-02-06,happy,strong,dogs,2,6,female
462,03-01-03-02-02-02-07,happy,strong,dogs,2,7,male
463,03-01-03-02-02-02-08,happy,strong,dogs,2,8,female
464,03-01-03-02-02-02-09,happy,strong,dogs,2,9,male
465,03-01-03-02-02-02-10,happy,strong,dogs,2,10,female
466,03-01-03-02-02-02-11,happy,strong,dogs,2,11,male
467,03-01-03-02-02-02-12,happy,strong,dogs,2,12,female
468,03-01-03-02-02-02-13,happy,strong,dogs,2,13,male
469,03-01-03-02-02-02-14,happy,strong,dogs,2,14,female
470,03-01-03-02-02-02-15,happy,strong,dogs,2,15,male
471,03-01-03-02-02-02-16,happy,strong,dogs,2,16,female
472,03-01-03-02-02-02-17,happy,strong,dogs,2,17,male
473,03-01-03-02-02-02-18,happy,strong,dogs,2,18,female
474,03-01-03-02-02-02-19,happy,strong,dogs,2,19,male
475,03-01-03-02-02-02-20,happy,strong,dogs,2,20,female
476,03-01-03-02-02-02-21,happy,strong,dogs,2,21,male
477,03-01-03-02-02-02-22,happy,strong,dogs,2,22,female
478,03-01-03-02-02-02-23,happy,strong,dogs,2,23,male
479,03-01-03-02-02-02-24,happy,strong,dogs,2,24,female
480,03-01-04-01-01-01-01,sad,normal,kids,1,1,male
481,03-01-04-01-01-01-02,sad,normal,kids,1,2,female
482,03-01-04-01-01-01-03,sad,normal,kids,1,3,male
483,03-01-04-01-01-01-04,sad,normal,kids,1,4,female
484,03-01-04-01-01-01-05,sad,normal,kids,1,5,male
485,03-01-04-01-01-01-06,sad,normal,kids,1,6,female
486,03-01-04-01-01-01-07,sad,normal,kids,1,7,male
487,03-01-04-01-01-01-08,sad,normal,kids,1,8,female
488,03-01-04-01-01-01-09,sad,normal,kids,1,9,male
489,03-01-04-01-01-01-10,sad,normal,kids,1,10,female
490,03-01-04-01-01-01-11,sad,normal,kids,1,11,male
491,03-01-04-01-01-01-12,sad,normal,kids,1,12,female
492,03-01-04-01-01-01-13,sad,normal,kids,1,13,male
493,03-01-04-01-01-01-14,sad,normal,kids,1,14,female
494,03-01-04-01-01-01-15,sad,normal,kids,1,15,male
495,03-01-04-01-01-01-16,sad,normal,kids,1,16,female
496,03-01-04-01-01-01-17,sad,normal,kids,1,17,male
497,03-01-04-01-01-01-18,sad,normal,kids,1,18,female
498,03-01-04-01-01-01-19,sad,normal,kids,1,19,male
499,03-01-04-01-01-01-20,sad,normal,kids,1,20,female
500,03-01-04-01-01-01-21,sad,normal,kids,1,21,male
501,03-01-04-01-01-01-22,sad,normal,kids,1,22,female
502,03-01-04-01-01-01-23,sad,normal,kids,1,23,male
503,03-01-04-01-01-01-24,sad,normal,kids,1,24,female
504,03-01-04-01-01-02-01,sad,normal,kids,2,1,male
505,03-01-04-01-01-02-02,sad,normal,kids,2,2,female
506,03-01-04-01-01-02-03,sad,normal,kids,2,3,male
507,03-01-04-01-01-02-04,sad,normal,kids,2,4,female
508,03-01-04-01-01-02-05,sad,normal,kids,2,5,male
509,03-01-04-01-01-02-06,sad,normal,kids,2,6,female
510,03-01-04-01-01-02-07,sad,normal,kids,2,7,male
511,03-01-04-01-01-02-08,sad,normal,kids,2,8,female
512,03-01-04-01-01-02-09,sad,normal,kids,2,9,male
513,03-01-04-01-01-02-10,sad,normal,kids,2,10,female
514,03-01-04-01-01-02-11,sad,normal,kids,2,11,male
515,03-01-04-01-01-02-12,sad,normal,kids,2,12,female
516,03-01-04-01-01-02-13,sad,normal,kids,2,13,male
517,03-01-04-01-01-02-14,sad,normal,kids,2,14,female
518,03-01-04-01-01-02-15,sad,normal,kids,2,15,male
519,03-01-04-01-01-02-16,sad,normal,kids,2,16,female
520,03-01-04-01-01-02-17,sad,normal,kids,2,17,male
521,03-01-04-01-01-02-18,sad,normal,kids,2,18,female
522,03-01-04-01-01-02-19,sad,normal,kids,2,19,male
523,03-01-04-01-01-02-20,sad,normal,kids,2,20,female
524,03-01-04-01-01-02-21,sad,normal,kids,2,21,male
525,03-01-04-01-01-02-22,sad,normal,kids,2,22,female
526,03-01-04-01-01-02-23,sad,normal,kids,2,23,male
527,03-01-04-01-01-02-24,sad,normal,kids,2,24,female
528,03-01-04-01-02-01-01,sad,normal,dogs,1,1,male
529,03-01-04-01-02-01-02,sad,normal,dogs,1,2,female
530,03-01-04-01-02-01-03,sad,normal,dogs,1,3,male
531,03-01-04-01-02-01-04,sad,normal,dogs,1,4,female
532,03-01-04-01-02-01-05,sad,normal,dogs,1,5,male
533,03-01-04-01-02-01-06,sad,normal,dogs,1,6,female
534,03-01-04-01-02-01-07,sad,normal,dogs,1,7,male
535,03-01-04-01-02-01-08,sad,normal,dogs,1,8,female
536,03-01-04-01-02-01-09,sad,normal,dogs,1,9,male
537,03-01-04-01-02-01-10,sad,normal,dogs,1,10,female
538,03-01-04-01-02-01-11,sad,normal,dogs,1,11,male
539,03-01-04-01-02-01-12,sad,normal,dogs,1,12,female
540,03-01-04-01-02-01-13,sad,normal,dogs,1,13,male
541,03-01-04-01-02-01-14,sad,normal,dogs,1,14,female
542,03-01-04-01-02-01-15,sad,normal,dogs,1,15,male
543,03-01-04-01-02-01-16,sad,normal,dogs,1,16,female
544,03-01-04-01-02-01-17,sad,normal,dogs,1,17,male
545,03-01-04-01-02-01-18,sad,normal,dogs,1,18,female
546,03-01-04-01-02-01-19,sad,normal,dogs,1,19,male
547,03-01-04-01-02-01-20,sad,normal,dogs,1,20,female
548,03-01-04-01-02-01-21,sad,normal,dogs,1,21,male
549,03-01-04-01-02-01-22,sad,normal,dogs,1,22,female
550,03-01-04-01-02-01-23,sad,normal,dogs,1,23,male
551,03-01-04-01-02-01-24,sad,normal,dogs,1,24,female
552,03-01-04-01-02-02-01,sad,normal,dogs,2,1,male
553,03-01-04-01-02-02-02,sad,normal,dogs,2,2,female
554,03-01-04-01-02-02-03,sad,normal,dogs,2,3,male
555,03-01-04-01-02-02-04,sad,normal,dogs,2,4,female
556,03-01-04-01-02-02-05,sad,normal,dogs,2,5,male
557,03-01-04-01-02-02-06,sad,normal,dogs,2,6,female
558,03-01-04-01-02-02-07,sad,normal,dogs,2,7,male
559,03-01-04-01-02-02-08,sad,normal,dogs,2,8,female
560,03-01-04-01-02-02-09,sad,normal,dogs,2,9,male
561,03-01-04-01-02-02-10,sad,normal,dogs,2,10,female
562,03-01-04-01-02-02-11,sad,normal,dogs,2,11,male
563,03-01-04-01-02-02-12,sad,normal,dogs,2,12,female
564,03-01-04-01-02-02-13,sad,normal,dogs,2,13,male
565,03-01-04-01-02-02-14,sad,normal,dogs,2,14,female
566,03-01-04-01-02-02-15,sad,normal,dogs,2,15,male
567,03-01-04-01-02-02-16,sad,normal,dogs,2,16,female
568,03-01-04-01-02-02-17,sad,normal,dogs,2,17,male
569,03-01-04-01-02-02-18,sad,normal,dogs,2,18,female
570,03-01-04-01-02-02-19,sad,normal,dogs,2,19,male
571,03-01-04-01-02-02-20,sad,normal,dogs,2,20,female
572,03-01-04-01-02-02-21,sad,normal,dogs,2,21,male
573,03-01-04-01-02-02-22,sad,normal,dogs,2,22,female
574,03-01-04-01-02-02-23,sad,normal,dogs,2,23,male
575,03-01-04-01-02-02-24,sad,normal,dogs,2,24,female
576,03-01-04-02-01-01-01,sad,strong,kids,1,1,male
577,03-01-04-02-01-01-02,sad,strong,kids,1,2,female
578,03-01-04-02-01-01-03,sad,strong,kids,1,3,male
579,03-01-04-02-01-01-04,sad,strong,kids,1,4,female
580,03-01-04-02-01-01-05,sad,strong,kids,1,5,male
581,03-01-04-02-01-01-06,sad,strong,kids,1,6,female
582,03-01-04-02-01-01-07,sad,strong,kids,1,7,male
583,03-01-04-02-01-01-08,sad,strong,kids,1,8,female
584,03-01-04-02-01-01-09,sad,strong,kids,1,9,male
585,03-01-04-02-01-01-10,sad,strong,kids,1,10,female
586,03-01-04-02-01-01-11,sad,strong,kids,1,11,male
587,03-01-04-02-01-01-12,sad,strong,kids,1,12,female
588,03-01-04-02-01-01-13,sad,strong,kids,1,13,male
589,03-01-04-02-01-01-14,sad,strong,kids,1,14,female
590,03-01-04-02-01-01-15,sad,strong,kids,1,15,male
591,03-01-04-02-01-01-16,sad,strong,kids,1,16,female
592,03-01-04-02-01-01-17,sad,strong,kids,1,17,male
593,03-01-04-02-01-01-18,sad,strong,kids,1,18,female
594,03-01-04-02-01-01-19,sad,strong,kids,1,19,male
595,03-01-04-02-01-01-20,sad,strong,kids,1,20,female
596,03-01-04-02-01-01-21,sad,strong,kids,1,21,male
597,03-01-04-02-01-01-22,sad,strong,kids,1,22,female
598,03-01-04-02-01-01-23,sad,strong,kids,1,23,male
599,03-01-04-02-01-01-24,sad,strong,kids,1,24,female
600,03-01-04-02-01-02-01,sad,strong,kids,2,1,male
601,03-01-04-02-01-02-02,sad,strong,kids,2,2,female
602,03-01-04-02-01-02-03,sad,strong,kids,2,3,male
603,03-01-04-02-01-02-04,sad,strong,kids,2,4,female
604,03-01-04-02-01-02-05,sad,strong,kids,2,5,male
605,03-01-04-02-01-02-06,sad,strong,kids,2,6,female
606,03-01-04-02-01-02-07,sad,strong,kids,2,7,male
607,03-01-04-02-01-02-08,sad,strong,kids,2,8,female
608,03-01-04-02-01-02-09,sad,strong,kids,2,9,male
609,03-01-04-02-01-02-10,sad,strong,kids,2,10,female
610,03-01-04-02-01-02-11,sad,strong,kids,2,11,male
611,03-01-04-02-01-02-12,sad,strong,kids,2,12,female
612,03-01-04-02-01-02-13,sad,strong,kids,2,13,male
613,03-01-04-02-01-02-14,sad,strong,kids,2,14,female
614,03-01-04-02-01-02-15,sad,strong,kids,2,15,male
615,03-01-04-02-01-02-16,sad,strong,kids,2,16,female
616,03-01-04-02-01-02-17,sad,strong,kids,2,17,male
617,03-01-04-02-01-02-18,sad,strong,kids,2,18,female
618,03-01-04-02-01-02-19,sad,strong,kids,2,19,male
619,03-01-04-02-01-02-20,sad,strong,kids,2,20,female
620,03-01-04-02-01-02-21,sad,strong,kids,2,21,male
621,03-01-04-02-01-02-22,sad,strong,kids,2,22,female
622,03-01-04-02-01-02-23,sad,strong,kids,2,23,male
623,03-01-04-02-01-02-24,sad,strong,kids,2,24,female
624,03-01-04-02-02-01-01,sad,strong,dogs,1,1,male
625,03-01-04-02-02-01-02,sad,strong,dogs,1,2,female
626,03-01-04-02-02-01-03,sad,strong,dogs,1,3,male
627,03-01-04-02-02-01-04,sad,strong,dogs,1,4,female
628,03-01-04-02-02-01-05,sad,strong,dogs,1,5,male
629,03-01-04-02-02-01-06,sad,strong,dogs,1,6,female
630,03-01-04-02-02-01-07,sad,strong,dogs,1,7,male
631,03-01-04-02-02-01-08,sad,strong,dogs,1,8,female
632,03-01-04-02-02-01-09,sad,strong,dogs,1,9,male
633,03-01-04-02-02-01-10,sad,strong,dogs,1,10,female
634,03-01-04-02-02-01-11,sad,strong,dogs,1,11,male
635,03-01-04-02-02-01-12,sad,strong,dogs,1,12,female
636,03-01-04-02-02-01-13,sad,strong,dogs,1,13,male
637,03-01-04-02-02-01-14,sad,strong,dogs,1,14,female
638,03-01-04-02-02-01-15,sad,strong,dogs,1,15,male
639,03-01-04-02-02-01-16,sad,strong,dogs,1,16,female
640,03-01-04-02-02-01-17,sad,strong,dogs,1,17,male
641,03-01-04-02-02-01-18,sad,strong,dogs,1,18,female
642,03-01-04-02-02-01-19,sad,strong,dogs,1,19,male
643,03-01-04-02-02-01-20,sad,strong,dogs,1,20,female
644,03-01-04-02-02-01-21,sad,strong,dogs,1,21,male
645,03-01-04-02-02-01-22,sad,strong,dogs,1,22,female
646,03-01-04-02-02-01-23,sad,strong,dogs,1,23,male
647,03-01-04-02-02-01-24,sad,strong,dogs,1,24,female
648,03-01-04-02-02-02-01,sad,strong,dogs,2,1,male
649,03-01-04-02-02-02-02,sad,strong,dogs,2,2,female
650,03-01-04-02-02-02-03,sad,strong,dogs,2,3,male
651,03-01-04-02-02-02-04,sad,strong,dogs,2,4,female
652,03-01-04-02-02-02-05,sad,strong,dogs,2,5,male
653,03-01-04-02-02-02-06,sad,strong,dogs,2,6,female
654,03-01-04-02-02-02-07,sad,strong,dogs,2,7,male
655,03-01-04-02-02-02-08,sad,strong,dogs,2,8,female
656,03-01-04-02-02-02-09,sad,strong,dogs,2,9,male
657,03-01-04-02-02-02-10,sad,strong,dogs,2,10,female
658,03-01-04-02-02-02-11,sad,strong,dogs,2,11,male
659,03-01-04-02-02-02-12,sad,strong,dogs,2,12,female
660,03-01-04-02-02-02-13,sad,strong,dogs,2,13,male
661,03-01-04-02-02-02-14,sad,strong,dogs,2,14,female
662,03-01-04-02-02-02-15,sad,strong,dogs,2,15,male
663,03-01-04-02-02-02-16,sad,strong,dogs,2,16,female
664,03-01-04-02-02-02-17,sad,strong,dogs,2,17,male
665,03-01-04-02-02-02-18,sad,strong,dogs,2,18,female
666,03-01-04-02-02-02-19,sad,strong,dogs,2,19,male
667,03-01-04-02-02-02-20,sad,strong,dogs,2,20,female
668,03-01-04-02-02-02-21,sad,strong,dogs,2,21,male
669,03-01-04-02-02-02-22,sad,strong,dogs,2,22,female
670,03-01-04-02-02-02-23,sad,strong,dogs,2,23,male
671,03-01-04-02-02-02-24,sad,strong,dogs,2,24,female
672,03-01-05-01-01-01-01,angry,normal,kids,1,1,male
673,03-01-05-01-01-01-02,angry,normal,kids,1,2,female
674,03-01-05-01-01-01-03,angry,normal,kids,1,3,male
675,03-01-05-01-01-01-04,angry,normal,kids,1,4,female
676,03-01-05-01-01-01-05,angry,normal,kids,1,5,male
677,03-01-05-01-01-01-06,angry,normal,kids,1,6,female
678,03-01-05-01-01-01-07,angry,normal,kids,1,7,male
679,03-01-05-01-01-01-08,angry,normal,kids,1,8,female
680,03-01-05-01-01-01-09,angry,normal,kids,1,9,male
681,03-01-05-01-01-01-10,angry,normal,kids,1,10,female
682,03-01-05-01-01-01-11,angry,normal,kids,1,11,male
683,03-01-05-01-01-01-12,angry,normal,kids,1,12,female
684,03-01-05-01-01-01-13,angry,normal,kids,1,13,male
685,03-01-05-01-01-01-14,angry,normal,kids,1,14,female
686,03-01-05-01-01-01-15,angry,normal,kids,1,15,male
687,03-01-05-01-01-01-16,angry,normal,kids,1,16,female
688,03-01-05-01-01-01-17,angry,normal,kids,1,17,male
689,03-01-05-01-01-01-18,angry,normal,kids,1,18,female
690,03-01-05-01-01-01-19,angry,normal,kids,1,19,male
691,03-01-05-01-01-01-20,angry,normal,kids,1,20,female
692,03-01-05-01-01-01-21,angry,normal,kids,1,21,male
693,03-01-05-01-01-01-22,angry,normal,kids,1,22,female
694,03-01-05-01-01-01-23,angry,normal,kids,1,23,male
695,03-01-05-01-01-01-24,angry,normal,kids,1,24,female
696,03-01-05-01-01-02-01,angry,normal,kids,2,1,male
697,03-01-05-01-01-02-02,angry,normal,kids,2,2,female
698,03-01-05-01-01-02-03,angry,normal,kids,2,3,male
699,03-01-05-01-01-02-04,angry,normal,kids,2,4,female
700,03-01-05-01-01-02-05,angry,normal,kids,2,5,male
701,03-01-05-01-01-02-06,angry,normal,kids,2,6,female
702,03-01-05-01-01-02-07,angry,normal,kids,2,7,male
703,03-01-05-01-01-02-08,angry,normal,kids,2,8,female
704,03-01-05-01-01-02-09,angry,normal,kids,2,9,male
705,03-01-05-01-01-02-10,angry,normal,kids,2,10,female
706,03-01-05-01-01-02-11,angry,normal,kids,2,11,male
707,03-01-05-01-01-02-12,angry,normal,kids,2,12,female
708,03-01-05-01-01-02-13,angry,normal,kids,2,13,male
709,03-01-05-01-01-02-14,angry,normal,kids,2,14,female
710,03-01-05-01-01-02-15,angry,normal,kids,2,15,male
711,03-01-05-01-01-02-16,angry,normal,kids,2,16,female
712,03-01-05-01-01-02-17,angry,normal,kids,2,17,male
713,03-01-05-01-01-02-18,angry,normal,kids,2,18,female
714,03-01-05-01-01-02-19,angry,normal,kids,2,19,male
715,03-01-05-01-01-02-20,angry,normal,kids,2,20,female
716,03-01-05-01-01-02-21,angry,normal,kids,2,21,male
717,03-01-05-01-01-02-22,angry,normal,kids,2,22,female
718,03-01-05-01-01-02-23,angry,normal,kids,2,23,male
719,03-01-05-01-01-02-24,angry,normal,kids,2,24,female
720,03-01-05-01-02-01-01,angry,normal,dogs,1,1,male
721,03-01-05-01-02-01-02,angry,normal,dogs,1,2,female
722,03-01-05-01-02-01-03,angry,normal,dogs,1,3,male
723,03-01-05-01-02-01-04,angry,normal,dogs,1,4,female
724,03-01-05-01-02-01-05,angry,normal,dogs,1,5,male
725,03-01-05-01-02-01-06,angry,normal,dogs,1,6,female
726,03-01-05-01-02-01-07,angry,normal,dogs,1,7,male
727,03-01-05-01-02-01-08,angry,normal,dogs,1,8,female
728,03-01-05-01-02-01-09,angry,normal,dogs,1,9,male
729,03-01-05-01-02-01-10,angry,normal,dogs,1,10,female
730,03-01-05-01-02-01-11,angry,normal,dogs,1,11,male
731,03-01-05-01-02-01-12,angry,normal,dogs,1,12,female
732,03-01-05-01-02-01-13,angry,normal,dogs,1,13,male
733,03-01-05-01-02-01-14,angry,normal,dogs,1,14,female
734,03-01-05-01-02-01-15,angry,normal,dogs,1,15,male
735,03-01-05-01-02-01-16,angry,normal,dogs,1,16,female
736,03-01-05-01-02-01-17,angry,normal,dogs,1,17,male
737,03-01-05-01-02-01-18,angry,normal,dogs,1,18,female
738,03-01-05-01-02-01-19,angry,normal,dogs,1,19,male
739,03-01-05-01-02-01-20,angry,normal,dogs,1,20,female
740,03-01-05-01-02-01-21,angry,normal,dogs,1,21,male
741,03-01-05-01-02-01-22,angry,normal,dogs,1,22,female
742,03-01-05-01-02-01-23,angry,normal,dogs,1,23,male
743,03-01-05-01-02-01-24,angry,normal,dogs,1,24,female
744,03-01-05-01-02-02-01,angry,normal,dogs,2,1,male
745,03-01-05-01-02-02-02,angry,normal,dogs,2,2,female
746,03-01-05-01-02-02-03,angry,normal,dogs,2,3,male
747,03-01-05-01-02-02-04,angry,normal,dogs,2,4,female
748,03-01-05-01-02-02-05,angry,normal,dogs,2,5,male
749,03-01-05-01-02-02-06,angry,normal,dogs,2,6,female
750,03-01-05-01-02-02-07,angry,normal,dogs,2,7,male
751,03-01-05-01-02-02-08,angry,normal,dogs,2,8,female
752,03-01-05-01-02-02-09,angry,normal,dogs,2,9,male
753,03-01-05-01-02-02-10,angry,normal,dogs,2,10,female
754,03-01-05-01-02-02-11,angry,normal,dogs,2,11,male
755,03-01-05-01-02-02-12,angry,normal,dogs,2,12,female
756,03-01-05-01-02-02-13,angry,normal,dogs,2,13,male
757,03-01-05-01-02-02-14,angry,normal,dogs,2,14,female
758,03-01-05-01-02-02-15,angry,normal,dogs,2,15,male
759,03-01-05-01-02-02-16,angry,normal,dogs,2,16,female
760,03-01-05-01-02-02-17,angry,normal,dogs,2,17,male
761,03-01-05-01-02-02-18,angry,normal,dogs,2,18,female
762,03-01-05-01-02-02-19,angry,normal,dogs,2,19,male
763,03-01-05-01-02-02-20,angry,normal,dogs,2,20,female
764,03-01-05-01-02-02-21,angry,normal,dogs,2,21,male
765,03-01-05-01-02-02-22,angry,normal,dogs,2,22,female
766,03-01-05-01-02-02-23,angry,normal,dogs,2,23,male
767,03-01-05-01-02-02-24,angry,normal,dogs,2,24,female
768,03-01-05-02-01-01-01,angry,strong,kids,1,1,male
769,03-01-05-02-01-01-02,angry,strong,kids,1,2,female
770,03-01-05-02-01-01-03,angry,strong,kids,1,3,male
771,03-01-05-02-01-01-04,angry,strong,kids,1,4,female
772,03-01-05-02-01-01-05,angry,strong,kids,1,5,male
773,03-01-05-02-01-01-06,angry,strong,kids,1,6,female
774,03-01-05-02-01-01-07,angry,strong,kids,1,7,male
775,03-01-05-02-01-01-08,angry,strong,kids,1,8,female
776,03-01-05-02-01-01-09,angry,strong,kids,1,9,male
777,03-01-05-02-01-01-10,angry,strong,kids,1,10,female
778,03-01-05-02-01-01-11,angry,strong,kids,1,11,male
779,03-01-05-02-01-01-12,angry,strong,kids,1,12,female
780,03-01-05-02-01-01-13,angry,strong,kids,1,13,male
781,03-01-05-02-01-01-14,angry,strong,kids,1,14,female
782,03-01-05-02-01-01-15,angry,strong,kids,1,15,male
783,03-01-05-02-01-01-16,angry,strong,kids,1,16,female
784,03-01-05-02-01-01-17,angry,strong,kids,1,17,male
785,03-01-05-02-01-01-18,angry,strong,kids,1,18,female
786,03-01-05-02-01-01-19,angry,strong,kids,1,19,male
787,03-01-05-02-01-01-20,angry,strong,kids,1,20,female
788,03-01-05-02-01-01-21,angry,strong,kids,1,21,male
789,03-01-05-02-01-01-22,angry,strong,kids,1,22,female
790,03-01-05-02-01-01-23,angry,strong,kids,1,23,male
791,03-01-05-02-01-01-24,angry,strong,kids,1,24,female
792,03-01-05-02-01-02-01,angry,strong,kids,2,1,male
793,03-01-05-02-01-02-02,angry,strong,kids,2,2,female
794,03-01-05-02-01-02-03,angry,strong,kids,2,3,male
795,03-01-05-02-01-02-04,angry,strong,kids,2,4,female
796,03-01-05-02-01-02-05,angry,strong,kids,2,5,male
797,03-01-05-02-01-02-06,angry,strong,kids,2,6,female
798,03-01-05-02-01-02-07,angry,strong,kids,2,7,male
799,03-01-05-02-01-02-08,angry,strong,kids,2,8,female
800,03-01-05-02-01-02-09,angry,strong,kids,2,9,male
801,03-01-05-02-01-02-10,angry,strong,kids,2,10,female
802,03-01-05-02-01-02-11,angry,strong,kids,2,11,male
803,03-01-05-02-01-02-12,angry,strong,kids,2,12,female
804,03-01-05-02-01-02-13,angry,strong,kids,2,13,male
805,03-01-05-02-01-02-14,angry,strong,kids,2,14,female
806,03-01-05-02-01-02-15,angry,strong,kids,2,15,male
807,03-01-05-02-01-02-16,angry,strong,kids,2,16,female
808,03-01-05-02-01-02-17,angry,strong,kids,2,17,male
809,03-01-05-02-01-02-18,angry,strong,kids,2,18,female
810,03-01-05-02-01-02-19,angry,strong,kids,2,19,male
811,03-01-05-02-01-02-20,angry,strong,kids,2,20,female
812,03-01-05-02-01-02-21,angry,strong,kids,2,21,male
813,03-01-05-02-01-02-22,angry,strong,kids,2,22,female
814,03-01-05-02-01-02-23,angry,strong,kids,2,23,male
815,03-01-05-02-01-02-24,angry,strong,kids,2,24,female
816,03-01-05-02-02-01-01,angry,strong,dogs,1,1,male
817,03-01-05-02-02-01-02,angry,strong,dogs,1,2,female
818,03-01-05-02-02-01-03,angry,strong,dogs,1,3,male
819,03-01-05-02-02-01-04,angry,strong,dogs,1,4,female
820,03-01-05-02-02-01-05,angry,strong,dogs,1,5,male
821,03-01-05-02-02-01-06,angry,strong,dogs,1,6,female
822,03-01-05-02-02-01-07,angry,strong,dogs,1,7,male
823,03-01-05-02-02-01-08,angry,strong,dogs,1,8,female
824,03-01-05-02-02-01-09,angry,strong,dogs,1,9,male
825,03-01-05-02-02-01-10,angry,strong,dogs,1,10,female
826,03-01-05-02-02-01-11,angry,strong,dogs,1,11,male
827,03-01-05-02-02-01-12,angry,strong,dogs,1,12,female
828,03-01-05-02-02-01-13,angry,strong,dogs,1,13,male
829,03-01-05-02-02-01-14,angry,strong,dogs,1,14,female
830,03-01-05-02-02-01-15,angry,strong,dogs,1,15,male
831,03-01-05-02-02-01-16,angry,strong,dogs,1,16,female
832,03-01-05-02-02-01-17,angry,strong,dogs,1,17,male
833,03-01-05-02-02-01-18,angry,strong,dogs,1,18,female
834,03-01-05-02-02-01-19,angry,strong,dogs,1,19,male
835,03-01-05-02-02-01-20,angry,strong,dogs,1,20,female
836,03-01-05-02-02-01-21,angry,strong,dogs,1,21,male
837,03-01-05-02-02-01-22,angry,strong,dogs,1,22,female
838,03-01-05-02-02-01-23,angry,strong,dogs,1,23,male
839,03-01-05-02-02-01-24,angry,strong,dogs,1,24,female
840,03-01-05-02-02-02-01,angry,strong,dogs,2,1,male
841,03-01-05-02-02-02-02,angry,strong,dogs,2,2,female
842,03-01-05-02-02-02-03,angry,strong,dogs,2,3,male
843,03-01-05-02-02-02-04,angry,strong,dogs,2,4,female
844,03-01-05-02-02-02-05,angry,strong,dogs,2,5,male
845,03-01-05-02-02-02-06,angry,strong,dogs,2,6,female
846,03-01-05-02-02-02-07,angry,strong,dogs,2,7,male
847,03-01-05-02-02-02-08,angry,strong,dogs,2,8,female
848,03-01-05-02-02-02-09,angry,strong,dogs,2,9,male
849,03-01-05-02-02-02-10,angry,strong,dogs,2,10,female
850,03-01-05-02-02-02-11,angry,strong,dogs,2,11,male
851,03-01-05-02-02-02-12,angry,strong,dogs,2,12,female
852,03-01-05-02-02-02-13,angry,strong,dogs,2,13,male
853,03-01-05-02-02-02-14,angry,strong,dogs,2,14,female
854,03-01-05-02-02-02-15,angry,strong,dogs,2,15,male
855,03-01-05-02-02-02-16,angry,strong,dogs,2,16,female
856,03-01-05-02-02-02-17,angry,strong,dogs,2,17,male
857,03-01-05-02-02-02-18,angry,strong,dogs,2,18,female
858,03-01-05-02-02-02-19,angry,strong,dogs,2,19,male
859,03-01-05-02-02-02-20,angry,strong,dogs,2,20,female
860,03-01-05-02-02-02-21,angry,strong,dogs,2,21,male
861,03-01-05-02-02-02-22,angry,strong,dogs,2,22,female
862,03-01-05-02-02-02-23,angry,strong,dogs,2,23,male
863,03-01-05-02-02-02-24,angry,strong,dogs,2,24,female
864,03-01-06-01-01-01-01,fearful,normal,kids,1,1,male
865,03-01-06-01-01-01-02,fearful,normal,kids,1,2,female
866,03-01-06-01-01-01-03,fearful,normal,kids,1,3,male
867,03-01-06-01-01-01-04,fearful,normal,kids,1,4,female
868,03-01-06-01-01-01-05,fearful,normal,kids,1,5,male
869,03-01-06-01-01-01-06,fearful,normal,kids,1,6,female
870,03-01-06-01-01-01-07,fearful,normal,kids,1,7,male
871,03-01-06-01-01-01-08,fearful,normal,kids,1,8,female
872,03-01-06-01-01-01-09,fearful,normal,kids,1,9,male
873,03-01-06-01-01-01-10,fearful,normal,kids,1,10,female
874,03-01-06-01-01-01-11,fearful,normal,kids,1,11,male
875,03-01-06-01-01-01-12,fearful,normal,kids,1,12,female
876,03-01-06-01-01-01-13,fearful,normal,kids,1,13,male
877,03-01-06-01-01-01-14,fearful,normal,kids,1,14,female
878,03-01-06-01-01-01-15,fearful,normal,kids,1,15,male
879,03-01-06-01-01-01-16,fearful,normal,kids,1,16,female
880,03-01-06-01-01-01-17,fearful,normal,kids,1,17,male
881,03-01-06-01-01-01-18,fearful,normal,kids,1,18,female
